timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1745960108710,149,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,149,0,0
1745960109205,269,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,269,0,0
1745960110710,197,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,197,0,0
1745960111205,112,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,112,0,0
1745960112710,143,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,143,0,0
1745960113205,160,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,160,0,0
1745960114711,190,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,190,0,0
1745960115205,168,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,168,0,0
1745960116710,135,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,135,0,0
1745960117204,153,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,153,0,0
1745960118710,88,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,87,0,0
1745960119204,100,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,100,0,0
1745960120710,130,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,130,0,0
1745960121205,250,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,250,0,0
1745960122710,178,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,178,0,0
1745960123206,168,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,168,0,0
1745960124710,126,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,126,0,0
1745960125206,140,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,139,0,0
1745960126709,281,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,281,0,0
1745960127205,126,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,126,0,0
1745960128710,116,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,116,0,0
1745960129205,134,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,389,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,134,0,0
